ec50UM,ic50UM,aMax,actArea
0.00665398,0.01359698,-98.813438,5.8489
0.05579155,0.05818048,-96.906357,5.315
3.40755749,2.31096053,-97.712944,2.5702
4.50303841,2.38116074,-95.831223,1.9076
1.09161878,8,-28.295166,1.0076
8.59658816,4.88063669,-89.95858,1.3882
8.63384192,5.03662729,-84.974762,1.2882
8.65279307,5.04196835,-66.31308,1.4978
6.39161539,3.2635386,-79.817047,1.5231
0.00346188,0.00311168,-98.150177,7.2354
0.01508657,0.0180795,-93.948456,5.3984
0.09350163,0.10702965,-94.615997,4.0743
0.23221543,0.27648526,-95.624779,3.1957
7.43280029,6.15767717,-94.35453,1.2785
0.18789941,0.24354453,-62.451622,2.4711
0.10910317,0.1147289,-96.31102,3.8365
1.39274025,3.90894318,-57.878433,1.1501
0.53511852,0.52991366,-95.518616,3.0704
0.10854068,0.12330926,-78.015633,4.1275
0.20077789,0.29362819,-86.066299,3.2487
0.01006654,0.02295878,-69.195404,4.5905
0.04720529,0.04827156,-96.158417,4.9539
2.50247264,3.16795731,-73.729317,1.9154
0.23767,8,-13.978923,0.4788
8.55442444,8,-39.859646,0.6781
9.08050241,8,-25.265465,0.5213
0.11973575,0.25648075,-56.242828,2.7511
0.03305847,0.04794786,-63.481594,3.9497
0.08475526,0.12025812,-84.021111,3.2683
0.96800745,3.78526092,-50.351799,1.3696
0.72503322,1.24612951,-65.504578,2.2119
0.01301991,0.14104521,-66.173851,3.1786
0.45428282,0.34567094,-100.846298,3.1566
3.46148706,6.33207083,-51.818092,0.4371
0.00936986,0.01084603,-69.248039,4.3906
0.03450824,0.02961304,-99.259987,5.0138
1.82444179,6.14237213,-52.995491,0.8191
8.02194584,6.58544159,-65.075806,0.5617
2.36032653,8,-22.14266,0.146
0.16512592,0.18347709,-76.777344,3.0328
0.09780139,0.16213965,-90.502831,3.2483
0.00374754,0.00351323,-89.227684,6.5055
0.07541131,0.07592098,-97.501808,4.0829
0.62567592,0.77653265,-89.698204,2.1373
1.30075002,0.96733326,-94.437042,3.0781
8.70410325,7.80798435,-51.734505,0.4963
5.61947617,0.00715142,-72.937309,5
0.133476,0.14582846,-94.539581,3.7899
0.0418415,1.68885744,-55.958332,2.0534
1.04567957,0.85342044,-92.050514,2.3703
0.11951659,0.4945876,-79.913643,2.6066
0.03579598,0.04634737,-97.033127,4.5124
0.2289646,0.45912713,-80.889374,3.0826
8.00846385,5.71829748,-80.890701,1.1636
2.33927083,2.22334528,-95.592728,1.8192
9.20113562,8,-34.961853,0.4078
1.67397475,1.96294165,-70.419044,1.5499
0.73750228,1.14077973,-68.797134,1.6665
2.4218514,2.69932485,-67.808151,1.808
0.18759753,0.20375821,-99.9636,3.3569
1.27958262,2.14122176,-64.381165,1.3044
2.42018724,2.88946056,-69.167328,1.1332
2.25353313,8,-22.844702,0.2108
8.88557531,8,-19.247707,0.1797
9.39894877,8,-25.420696,0.2176
0.79481375,0.85538918,-89.066666,2.0606
0.03212693,0.01088609,-78.953964,4.9445
0.20627679,0.22145638,-96.817802,3.1265
8.37353608,7.4592948,-65.490532,0.6721
2.46524715,8,-48.822021,0.8919
0.4979938,0.5473209,-83.100472,2.5308
7.74420277,1.22628498,-61.639488,2.4054
0.04816212,0.05407386,-95.729401,4.3922
0.67930204,0.54061091,-99.823723,3.618
4.62282896,4.82124567,-87.474266,0.9383
0.00673071,8,-97.559929,6.988
8.72395327,8,-30.742388,0.6213
0.29217872,0.34042752,-91.937668,3.05
6.62591493,0.01585762,-71.928802,4.7368
0.1173726,0.14658085,-91.016602,3.7306
2.6915195,8,-38.431973,1.0149
0.09647612,0.10349359,-70.295494,3.3698
3.71383143,1.86531079,-73.023621,1.8093
0.01852258,0.02068819,-69.268074,4.1905
0.12601155,0.15430507,-98.800049,3.5222
0.44907415,1.67619264,-62.648674,1.5971
8.6020015,2.01946545,-75.599625,1.9735
0.04393419,0.04666959,-85.994377,4.5573
0.0281042,0.07532502,-74.390381,3.7711
0.00509922,0.0059226,-65.825554,4.8994
0.06940588,0.07561718,-91.273155,4.0105
0.11302792,0.15279779,-93.982483,3.6574
1.44632351,1.6185751,-89.002678,1.8226
2.04504848,2.54235482,-78.655754,1.4561
7.58986282,8,-37.821964,0.3243
0.97193408,1.19991696,-65.011116,2.0055
6.86636305,7.23916149,-52.867378,0.943
0.05230463,0.04812422,-90.059906,4.6237
0.11150443,0.09661954,-103.59433,4.3852
8.05960167,5.25670195,-76.400352,1.3273
0.01400778,0.01480163,-88.349693,5.2263
0.03435278,0.03599412,-96.362068,4.804
8.08185991,6.72178698,-93.472443,1.1576
0.7734378,0.73549968,-92.835953,2.3484
0.33844885,0.39034453,-95.283226,2.867
0.14115709,0.17533991,-81.520912,3.6877
0.12769011,0.26240698,-81.725754,2.8611
0.02366408,0.01636847,-82.493393,5.3918
0.02736202,0.02865008,-98.428619,4.751
0.32263854,0.65069425,-77.545227,2.3477
0.1947763,0.60953158,-80.35276,2.4477
0.08183101,0.09958667,-79.342644,4.3291
0.1621978,0.28571239,-83.079201,2.9043
0.00954683,0.00558513,-75.084076,5.5828
0.07362159,0.08087268,-93.237831,4.6055
2.89625049,2.73984861,-73.945801,1.7102
0.57162887,0.5238595,-89.936668,3.1338
8.12275317,3.53416944,-87.973404,1.4006
8.14448904,8,-28.541491,0.301
0.24533793,0.27879262,-76.698441,3.6265
1.13992357,1.51800251,-79.46125,2.0173
0.02082523,0.0181148,-90.417816,5.7321
0.13158952,0.13646078,-95.947197,3.9169
0.50952768,0.67026472,-86.344131,2.4101
1.79431355,1.18739307,-96.955109,2.5829
8.51359166,8,-27.62026,0.3269
6.20236158,8,-23.57132,0.4692
8.31940174,8,-15.00188,0.1502
8.20480323,8,-25.189182,0.2154
7.97487879,8,-28.913033,0.2797
3.34441447,8,-31.248629,0.4755
0.0850836,0.11710604,-58.217384,2.3103
0.22549167,0.3009809,-87.768372,2.4994
0.40484944,0.45452356,-86.161072,2.6683
0.02734444,0.01374758,-87.030846,5.0501
0.10645747,0.14139231,-96.34922,3.3944
0.13348299,0.24052918,-65.312096,1.9759
1.21975291,1.74792945,-74.255577,0.7958
0.44061795,0.61032802,-83.558685,2.0795
0.25051105,0.23703353,-95.795746,3.3319
0.0344702,0.02485349,-83.923225,4.8643
0.00762508,0.02270171,-98.495956,5.1937
0.40508407,0.38335019,-98.333656,3.3946
0.19280706,0.29813245,-84.064453,2.8988
0.03366822,8,-28.559263,1.1063
8.50740441,0.85026676,-96.363205,2.7443
2.0622921,1.90273154,-91.507469,1.827
8.52748413,8,-29.408504,0.5364
2.56625652,8,-28.015148,0.5904
9.2010568,8,-33.389778,0.2392
0.94269723,0.99330938,-80.947876,2.6195
5.0110426,0.43227536,-87.75576,3.4138
0.01050865,0.05223197,-100.44339,4.3873
0.52629155,0.63713324,-84.262482,2.942
1.01974893,1.29999971,-80.752892,1.9651
6.47553982,0.0060104,-83.341858,5.864
0.01117621,0.01285715,-95.974701,5.6735
0.09407197,0.13066545,-88.179947,3.8043
2.56974959,2.90852094,-83.3703,1.2322
1.75069475,2.06911254,-83.738167,1.5215
8.40848858,8,-18.64641,0.1598
0.1453684,0.1515169,-94.090103,3.6462
0.00681655,0.00531926,-84.286247,5.9311
0.02289373,0.02238038,-95.620056,5.538
0.81881994,0.89367098,-77.488571,2.2338
0.04013025,0.04950314,-88.928391,4.1463
0.12930058,0.20324552,-71.864021,3.1582
0.03643913,0.05674262,-70.712906,3.5526
6.18332753,0.00766751,-82.90583,5.2472
0.01608768,0.01754217,-94.472313,5.2683
0.20904554,0.24845709,-86.44268,3.1954
0.29443425,0.38524523,-73.481934,2.5368
3.5624404,3.05638409,-79.545403,1.356
8.77201568,8,-28.642334,0.2845
0.0964476,0.11627251,-76.574593,3.3913
1.2403965,2.36995745,-57.966747,1.2505
0.00478392,0.00571023,-92.764847,6.3364
