ec50UM,ic50UM,aMax,actArea
2.18247795,5.20551395,-51.886219,0.7703
0.0147957,0.01610508,-75.154503,4.5075
0.16669521,0.1833334,-92.299896,3.4319
8.61928541,3.84114289,-60.852325,1.5052
0.43550587,0.61763763,-83.314728,2.1105
0.50088918,0.68892998,-86.449287,2.2679
0.0718713,0.11755484,-98.856384,3.5643
1.76655328,1.96303213,-87.806,1.627
8.47271172,6.06253624,-83.552879,0.808
1.48847008,8,-28.304964,0.1921
7.41451502,8,-21.170231,0.1106
0.0832189,0.08849466,-85.395012,4.1346
0.0867665,0.0624242,-95.959,5.445
0.01044058,0.00464489,-97.67601,6.895
0.0077678,0.0133083,-97.696571,5.6512
0.41941214,0.50741661,-95.82843,3.4304
6.80732667,0.05601942,-64.910339,3.8522
0.1347899,0.11830485,-119.120247,3.8318
2.41940022,1.11181784,-95.528847,3.0662
1.03454232,0.87001979,-83.955704,3.0771
8.14912153,2.92986655,-75.880058,1.4503
1.90428388,1.84190488,-94.178757,2.4941
4.75150633,8,-39.751667,0.9836
3.2161727,3.98032403,-66.554581,1.0637
0.13649273,0.1296099,-94.116272,3.8223
0.14053845,0.18079947,-85.025642,3.3419
0.0156931,0.01682223,-96.384804,5.016
0.05366014,0.04209152,-90.380875,4.5708
0.02904723,0.03271708,-95.947807,4.7085
0.30477631,0.31023338,-96.719246,3.1619
2.00008655,1.8906399,-96.887573,1.7159
0.0086564,8,-98.119377,7.1048
1.09477925,1.1049391,-96.408821,2.0601
2.33449411,2.31145763,-98.354118,1.5403
0.47761107,0.4524754,-97.338997,3.12
0.08248668,0.08264223,-93.057137,4.6858
0.03926692,0.02864612,-95.496353,5.1446
6.92366012,0.09873667,-70.951386,3.7935
6.31590985,0.0044054,-92.126305,6.2491
0.03190866,0.03031543,-96.872513,5.3488
0.00945451,0.0241779,-95.421822,4.8915
0.83270758,0.88385457,-95.247917,2.6934
8.6725484,8,-42.335831,1.0477
2.49509978,4.26095295,-53.622295,0.9006
3.48958397,8,-38.812416,0.7281
4.23756266,5.63216353,-61.356243,0.7751
0.05628191,0.05676528,-90.484619,4.4144
0.24948598,0.25640199,-89.691284,3.2093
0.87612116,0.93806523,-86.432732,1.9426
0.00738943,0.00335572,-93.617317,6.5694
0.06136194,0.09634682,-95.377213,3.9219
0.63443697,0.69377285,-90.152527,2.3036
3.9640491,8,-25.563383,0.21
3.50770998,8,-30.482925,0.212
3.10617566,8,-39.439339,0.3059
0.14542218,0.16674961,-82.094147,3.0933
2.14497376,2.1330142,-82.831436,1.5558
0.16493885,2.18297005,-56.412636,1.7013
0.02745205,0.02749198,-87.923187,4.864
0.15634143,0.16449796,-97.257011,3.5037
0.66780525,0.75530833,-86.777512,2.197
4.96026373,5.15640783,-84.543617,0.8425
3.08796573,8,-24.501972,0.1945
8.56110297,8,-32.905781,0.2328
8.17523049,8,-25.796898,0.3274
0.03412047,0.03817892,-75.528427,2.7758
0.1364598,0.41183043,-59.873161,2.2262
0.00316322,0.03368402,-65.688644,3.2738
0.01218222,0.00965237,-85.217033,4.8529
0.05191548,0.08535302,-97.733818,3.2117
8.08031037,1.5987072,-93.566162,1.234
2.52134275,1.30145836,-91.948517,1.6607
2.12180829,1.45614946,-83.729492,1.099
0.02868717,0.02623521,-73.494141,5.0531
0.09738675,0.0992705,-92.297058,4.3871
6.43589434,0.00473829,-72.936172,5.0744
0.02205244,0.01969701,-92.920242,6.1507
0.01566026,0.01364784,-95.621841,5.8283
0.05642071,0.05754936,-95.704445,5.1368
0.14744346,0.25284261,-84.565239,3.1142
1.15352619,1.33821476,-86.27108,2.1507
8.03400213,8,-45.957691,0.6706
1.56262779,8,-45.149517,0.764
0.14165412,0.25710404,-52.55069,2.0891
0.14656921,0.21901374,-77.466492,2.6355
0.02982367,0.03355799,-66.788879,4.5833
0.11303783,0.14848685,-90.52005,3.703
0.41649842,0.46787763,-79.151917,3.0377
0.00950269,8,-34.40675,1.4195
2.6695869,2.61371517,-77.375092,1.3852
1.23171091,8,-25.189211,0.484
3.64515567,8,-38.207256,0.3542
3.19322991,8,-25.641785,0.1781
0.26370734,0.3156172,-87.536598,3.6128
0.0053114,0.04863405,-94.666588,4.4041
0.00879022,0.00332498,-89.248894,6.414
0.03298605,0.0367337,-99.736122,4.8869
0.21271944,0.2183989,-94.620804,4.0091
0.88631147,0.91394091,-96.971977,2.4489
2.8917203,8,-38.73558,0.957
8.34452181,7.77769756,-56.927711,0.6914
0.71198297,0.57680899,-84.322968,3.6717
8.0217107,1.19487691,-70.315117,1.9951
0.10497459,0.07966185,-97.579498,4.2741
8.76938394,1.69505262,-83.399628,2.5993
0.10946044,8,-79.962151,4.9409
0.05285724,0.05546199,-87.190475,4.1338
0.34681514,0.43637863,-92.351608,2.9539
0.15904628,0.72037047,-55.542423,1.8433
0.00542106,0.0046342,-97.262016,6.8034
0.03957207,0.03972247,-94.97953,4.7173
0.10636093,0.15604281,-87.433662,3.3792
8.09493506,7.04292202,-77.34684,0.8137
8.29611122,8,-32.692215,0.2903
7.3156867,8,-37.901863,0.3137
0.42646703,0.74700028,-62.442188,2.4491
4.9944017,0.00501625,-70.346703,5.2136
0.18800329,0.20239805,-91.581131,3.6298
0.85660368,5.80548096,-51.425171,1.378
8.4280547,5.36932993,-60.031399,1.4364
0.35994786,1.4876225,-61.748081,2.0429
1.32390738,6.28246307,-52.273262,1.268
0.15605475,0.17144585,-88.563065,3.5192
0.03708363,0.04038636,-93.45517,4.8773
0.01956716,0.01458495,-94.484306,6.6117
0.0149253,0.01348114,-94.054031,5.8871
0.24901256,0.27466071,-92.266319,3.5637
0.06023779,0.05953576,-94.413567,5.0621
0.34824014,0.48430976,-98.34874,2.91
0.96281606,1.05871272,-93.861191,2.1505
0.24298182,0.23721565,-94.834824,3.7881
0.65245414,0.65142435,-98.956604,2.0005
0.08352336,0.08277945,-96.770554,4.3181
0.00389888,0.00352426,-99.021767,7.1779
0.0037135,0.00450442,-95.378166,6.6543
0.06680976,0.06761634,-97.406464,4.5726
0.78133458,0.77784598,-96.76844,2.8381
3.60874915,8,-36.252827,0.3087
8.12251043,7.17924833,-73.304436,0.3177
0.18063758,8,-29.455969,0.6449
0.02132846,0.0233486,-71.350121,4.2668
0.20443203,0.18320952,-95.354713,3.5677
0.00701352,0.00520337,-99.919693,6.6977
0.03053072,0.03239999,-101.982475,5.0888
0.12980828,0.13572697,-97.470932,3.8426
8.66933264,3.29568124,-76.07618,1.5268
0.10139687,0.12492034,-91.978409,4.355
0.00258881,0.00264194,-94.363747,7.086
0.0099611,0.00387386,-95.381218,6.804
0.22042672,0.26823515,-101.843559,3.8314
1.42567599,1.80548632,-82.870766,1.8171
2.74900079,8,-40.144669,0.4616
0.03139067,0.03356469,-91.739212,5.4708
0.23633219,0.2795431,-74.36068,3.2272
0.34522411,0.41766644,-92.159248,3.367
0.01624147,0.01875677,-92.623245,5.3877
0.18628161,0.25644139,-85.273865,3.1159
0.70565403,0.77347297,-90.011871,2.9832
0.00343226,8,-96.01049,7.4167
8.18962267,8,-49.387772,0.9272
8.57778128,7.79587936,-51.626972,1.0317
0.58406717,2.27541661,-52.703667,2.2171
0.98800129,2.88316441,-62.502239,1.6298
0.00851823,0.0158903,-51.165852,3.9946
0.03903282,0.16670607,-84.978958,3.2458
8.6143456,2.80750775,-91.062126,1.8094
9.10563513,3.27131844,-73.016464,2.2647
8.50136868,8,-21.490717,0.1628
0.23030648,0.30977145,-60.014633,2.7651
0.38430345,0.45842236,-73.33284,2.3962
0.07843103,0.14697543,-65.225983,4.304
0.15130986,0.20217741,-94.636856,3.2386
1.0227772,1.85325766,-52.945683,1.2307
0.91599745,1.30197835,-67.660591,2.4108
0.0036944,8,-48.780987,1.5562
3.62001324,3.98032403,-67.754868,1.6644
7.99923325,6.74205589,-67.432472,0.8743
1.16283381,8,-24.130564,0.4486
1.114308,8,-12.65379,0.1906
7.9986701,8,-29.403688,0.3043
0.17430095,0.19033273,-83.131027,3.5771
0.18549027,0.19836266,-90.404625,3.531
0.01867635,0.01871618,-93.887177,5.5777
0.49919647,0.53859663,-87.613541,2.7704
0.18784244,0.22985821,-94.113945,3.6748
0.06124588,8,-45.617104,2.0524
6.06391243,8,-88.266571,6.5537
2.66568899,2.79739094,-87.471901,1.6069
1.17631471,8,-34.830387,0.7628
6.72327089,8,-20.315903,0.2421
2.38343191,8,-37.55489,0.6123
0.06391466,0.06139708,-93.873116,4.2994
0.84562022,0.83421081,-95.185417,2.1382
1.45843756,1.14553881,-81.351875,2.3614
0.02966102,0.02609533,-83.781395,5.1202
0.05168968,0.05449415,-96.035492,4.6034
0.96400333,1.0047735,-92.960663,2.1438
0.08627671,0.07231021,-88.250671,3.4197
1.27658308,0.79206234,-100.686928,2.2418
7.44275134,0.13818637,-83.329033,2.611
0.01858138,0.01633732,-73.573128,4.0922
0.04492297,0.03793163,-119.35627,4.1905
